timestamp,tx,ty,tz,qx,qy,qz,qw
3.109,2.0319479702435084,0.5000000036102759,-0.17752251816199838,-5.331746563378098e-05,-0.0032512743814355617,-2.1408904607910993e-07,0.999994713172074
3.9930000000000003,2.031952672911121,0.49999995128779345,-0.17819681829503206,-5.065033367303822e-05,-0.0030888207396173443,-2.0755530160315452e-07,0.999995228299085
4.843,2.031962890922667,0.49999990137866,-0.17977918335111948,-4.9211736217705174e-05,-0.00270697563144295,-1.9426807273917373e-07,0.9999963349238327
5.761,2.0319572723991333,0.4999998553515709,-0.1788954444156657,-4.9004770947588186e-05,-0.002919688802096596,-2.163659239801946e-07,0.9999957364988036
6.645,2.031959208895628,0.49999980954598316,-0.17920215671172077,-4.927182312797491e-05,-0.0028465004943063832,-2.2485119348147147e-07,0.999995947495375
7.461,2.031958288509917,0.49999976934930385,-0.17906455434032928,-4.937881740598624e-05,-0.0028792266232000167,-2.370963434777337e-07,0.9999958537992687
8.243,2.0319588228869674,0.49999972939844634,-0.1791534364306326,-4.9393404954569626e-05,-0.0028575308732854466,-2.460294032888077e-07,0.9999959160304303
8.379,2.0319585812327317,0.4999997226199001,-0.17911662208170265,-4.9387071128017775e-05,-0.0028662299726347094,-2.481802159251805e-07,0.9999958911348584
8.447,2.031958468726075,0.49999971898829765,-0.17909979968585393,-4.9384026652228886e-05,-0.0028707108052124504,-2.4927577288976537e-07,0.99999587828182
8.583,2.0319585074077966,0.49999971248021247,-0.1791065642136116,-4.9381598135189585e-05,-0.002868378320558471,-2.5085013448662277e-07,0.9999958849751358
9.671,2.031958508875767,0.4999996572199641,-0.17911459713385608,-4.9359680095126895e-05,-0.0028659723902906683,-2.645128780116387e-07,0.9999958918744667
10.521,2.0319584201659087,0.49999961365603524,-0.17910771726669794,-4.93551867277369e-05,-0.0028690336583287184,-2.7545093275440713e-07,0.999995883096454
11.167,2.0319584701107902,0.49999958079976126,-0.17912028555922876,-4.935726342622793e-05,-0.0028660008723948617,-2.835258242780899e-07,0.9999958917929511
11.779,2.0319584331713783,0.4999995499971547,-0.17911890269048367,-4.93586633490083e-05,-0.0028659454149452075,-2.9128287609884446e-07,0.9999958919518199
11.779,2.0319584331713783,0.4999995499971547,-0.17911890269048367,-4.93586633490083e-05,-0.0028659454149452075,-2.9128287609884446e-07,0.9999958919518199
11.779,2.0319584331713783,0.4999995499971547,-0.17911890269048367,-4.93586633490083e-05,-0.0028659454149452075,-2.9128287609884446e-07,0.9999958919518199
14.703,2.03195828442356,0.4999994013204728,-0.1791175845050698,-4.9359047696447255e-05,-0.002866677244386131,-3.285287558830605e-07,0.9999958898541298
15.723,2.031958192633426,0.49999935000049134,-0.17911027225869586,-4.9358766802510517e-05,-0.002867119943165299,-3.4152478712862926e-07,0.9999958885849616
17.083,2.0319581260669537,0.49999928113228465,-0.17910971456784322,-4.935879972156772e-05,-0.0028666623196154616,-3.588082742793714e-07,0.9999958898969162
17.083,2.0319581260669537,0.49999928113228465,-0.17910971456784322,-4.935879972156772e-05,-0.0028666623196154616,-3.588082742793714e-07,0.9999958898969162
18.851,2.0319580419340335,0.4999991911316272,-0.1791101209480095,-4.9358557556739734e-05,-0.002867498256497115,-3.813203214456605e-07,0.9999958875002118
19.497,2.0319580239301196,0.4999991582650461,-0.17911222922473072,-4.9358508864624094e-05,-0.00286727165720121,-3.8951640155629824e-07,0.9999958881499612
20.211,2.0319579712247866,0.4999991218054853,-0.179109531764122,-4.9358099392849187e-05,-0.0028683967605523824,-3.986680423788341e-07,0.9999958849233547
21.299,2.031957882929069,0.4999990670702778,-0.17910320372970773,-4.9358066597360185e-05,-0.002868443374177482,-4.1251283088959506e-07,0.9999958847896426
21.299,2.031957882929069,0.4999990670702778,-0.17910320372970773,-4.9358066597360185e-05,-0.002868443374177482,-4.1251283088959506e-07,0.9999958847896426
22.489,2.0319578231806417,0.499999006609382,-0.1791027530965698,-4.935796262172948e-05,-0.0028686306856701314,-4.27675817424601e-07,0.9999958842523292
23.679,2.031957807703802,0.49999894586657917,-0.1791097068215062,-4.9358098286397004e-05,-0.002868241316422208,-4.427414997436691e-07,0.9999958853692014
24.495,2.031957807796066,0.49999890458256224,-0.1791156549871765,-4.93587142389832e-05,-0.002866475442350381,-4.5303248598121635e-07,0.999995890432581
24.495,2.031957807796066,0.49999890458256224,-0.1791156549871765,-4.93587142389832e-05,-0.002866475442350381,-4.5303248598121635e-07,0.999995890432581
26.127,2.0319577383997234,0.4999988215424571,-0.17911722833196136,-4.935857460513039e-05,-0.0028667730090414043,-4.7377728204222235e-07,0.9999958895795629
26.127,2.0319577383997234,0.4999988215424571,-0.17911722833196136,-4.935857460513039e-05,-0.0028667730090414043,-4.7377728204222235e-07,0.9999958895795629
27.283,2.031957611473193,0.4999987631211388,-0.17910552513081676,-4.9357826539928225e-05,-0.0028684518548338397,-4.886165093652819e-07,0.9999958847652938
28.167,2.031957604878588,0.499998717808091,-0.17911158690424292,-4.935802706990327e-05,-0.002868199457448726,-4.998347334739024e-07,0.9999958854892392
28.167,2.031957604878588,0.499998717808091,-0.17911158690424292,-4.935802706990327e-05,-0.002868199457448726,-4.998347334739024e-07,0.9999958854892392
28.167,2.031957604878588,0.499998717808091,-0.17911158690424292,-4.935802706990327e-05,-0.002868199457448726,-4.998347334739024e-07,0.9999958854892392
